,imdbId,Genre,Poster
9987,284277,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDM3MTQyOV5BMl5BanBnXkFtZTcwOTc4MDkxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
5725,104684,Action|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjY1YWNiZjItODhjNS00Nzk4LWE2NDgtMDE5MDc3NzI2MmZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
4191,259747,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDk4NzgyOV5BMl5BanBnXkFtZTYwNDQ5Mzg5._V1_UX182_CR0,0,182,268_AL_.jpg"
3324,3416828,Animation|Adventure|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
2252,330801,Animation|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MTg0OTE4OF5BMl5BanBnXkFtZTcwNjk3MDUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
6942,106308,Comedy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BODcyYzM4YTAtNGM5MS00NjU4LTk2Y2ItZjI5NjkzZTk0MmQ1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
5922,191037,Thriller|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ1MDU3NzU4MF5BMl5BanBnXkFtZTcwODk0MTYyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
10018,367631,Action|Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0OTU5ODgyOF5BMl5BanBnXkFtZTcwODczNDgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
3469,293088,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDc2MzAzNjI0NF5BMl5BanBnXkFtZTcwODc5NjAyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
11350,103772,Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk0YmJkNjItNDY3Mi00ZWFiLWEwY2EtMDJlZWJlOWZkNzJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
3565,117395,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMDQ2Njg3OV5BMl5BanBnXkFtZTcwNDA4NjcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
10162,379306,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA3MTE1Ml5BMl5BanBnXkFtZTcwNjgwOTIzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
2491,1696192,Animation|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzY2MjI0OF5BMl5BanBnXkFtZTcwODYzMjgzOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5372,99674,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMDcxNDA4MV5BMl5BanBnXkFtZTgwNjY1NTk4NjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
7841,469062,Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjY5NDAyNl5BMl5BanBnXkFtZTcwODY0MzE0MQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
9729,30386,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDBkZjdiNzctMTVkOS00ODIzLWJkN2ItM2Y5OTgyZTNjNGJlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
7462,50197,Horror|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDYzOWZjYWUtZGI5Yy00ZWFkLTkwNDQtOWYzNThlYTA1YWFjXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg"
1591,1509276,Documentary|Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MzY0OTAxNV5BMl5BanBnXkFtZTcwNTk2MDEzMw@@._V1_UY268_CR0,0,182,268_AL_.jpg"
